time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1701090000000,36980.73448944337,37030.62686289959,36821.610998381104,36952.492092068365,645932550.7048895,-0.0018104337516528846,-0.001999530610675475,-0.002741558174464234,-0.0007402191739739717
1701093600000,36952.085421427626,37004.72072388111,36765.94478266495,36794.98648873677,606082831.1415787,-0.0007750027520724427,-0.0006998316593418867,-0.0015129249978038575,-0.004271490926741751
1701097200000,36797.596622487,37044.70034472234,36761.87384251202,36761.87384251202,541097133.5536659,-0.00418955094121017,0.0010798092449321392,-0.00011073197146900929,-0.0009003279452758596
1701100800000,36760.09560962128,37075.579527297676,36752.43199225728,37072.83211977589,529035331.07806313,-0.0010196354718796045,0.0008332182343388133,-0.00025687110010590093,0.008423142253559283
1701104400000,37074.90441834828,37143.14227593164,36903.346253444935,36922.40988711734,442257144.052419,0.008527411559869831,0.001820639473575496,0.00409783118077434,-0.0040657327630174225
1701108000000,36924.70846119738,37072.51739701438,36894.85230687185,36983.67770012471,320641667.11373043,-0.004059377003665967,-0.0019032344534079318,-0.0002301938740049697,0.00165799135206969
1701111600000,36985.67116046649,37061.85086516537,36813.8185607986,36880.63465289468,397531956.89730805,0.0016496387491453442,-0.00028776213172537047,-0.0021987583758078144,-0.002790064939130751
1701115200000,36881.44869408646,36958.01878633911,36811.01876622364,36814.023401134706,279953126.8081658,-0.0028218924941489443,-0.0028055209343070143,-7.605570831680952e-05,-0.0018077638640146107
1701118800000,36817.40364776478,37038.78174067435,36798.165782829295,37026.86360442637,259307918.12258855,-0.0017380206179174905,0.0021828777955088473,-0.00034922227718487835,0.005764849296221377
1701122400000,37028.584026062905,37084.794782668214,36971.95670618093,37081.959301299335,123858622.23422633,0.0057194970407780325,0.0012415226048804288,0.0047116973376840725,0.0014868865774230185
1701126000000,37082.94533424917,37277.26381799869,37082.1593812133,37242.15714671741,355844228.55235994,0.0014670137940712602,0.005176550212467885,0.0029762763288477307,0.004310797118170304
1701129600000,37247.3208126778,37345.59903029027,37196.56867623545,37262.62586844427,319672163.3723589,0.004422848320155216,0.001831482438085205,0.003080542397276063,0.0005494606228882611
